id,user,joined,last_stat,num_tweets,follower_cnt,friend_cnt,location
1020330991875907584,ناوکست,2018-07-20 15:34:00,,1408,4805,115,"Melbourne, Victoria"
1205190442666647553,FaTeMeH KhOsHkAm,2019-12-12 18:19:39,2019-12-29 11:25:32,1,9,28,Tabriz
945491988270301184,همسایه‌ی طبقه‌ی سوم,2017-12-26 03:10:31,2019-12-29 11:25:32,15778,21872,244,"San Francisco, CA"
991585872,Babak,2012-12-05 19:19:23,,306,25,57,
775160658,Bedirhan,2012-08-23 04:35:04,2019-08-06 17:45:43,4985,448,295,Tehran - Iran
1115633717064560641,Cinemaself Podcast,2019-04-09 15:13:00,2019-12-29 11:25:32,119,292,83,
1175127958115233792,TabrizOpenTalks,2019-09-20 19:22:10,,6,44,142,Iran/Tabriz
1099075815667580930,Sina Honarvar,2019-02-22 22:37:49,2019-12-29 11:25:32,438,98,203,Kurdistan
950285904710656000,AhmadReza Sadeghi,2018-01-08 08:39:49,2019-12-29 11:25:32,196,161,408,
1168060518722166784,TabrizCert,2019-09-01 07:21:25,2019-12-30 12:44:06,189,110,617,"ایران, تبریز"
949331362477170688,Amin Hosseini,2018-01-05 17:26:49,2019-12-29 11:25:32,58,48,126,
1148568599340171264,9:33DM,2019-07-09 12:24:28,,65,83,6,Tabriz
983305816206913537,Ali Barin,2018-04-09 11:29:10,2019-12-29 11:25:32,18,116,283,Islamic Republic of Iran
1167678246667730944,Ehsan Momeni Bashusqeh,2019-08-31 05:59:31,2019-12-29 11:25:32,136,103,734,"Kuala Lumpur, Malaysia"
961905333659623424,Mohammad Reza Zia,2018-02-09 10:11:17,2019-12-29 11:25:32,392,834,583,
10898712,Saeid Ghaznavi,2007-12-06 09:38:55,2019-12-29 11:25:32,7424,1363,3833,Tabriz
1102075248776826880,Factab,2019-03-03 05:16:29,,49,60,160,
1146172315643727872,Ehsanagazade,2019-07-02 21:42:29,2019-12-29 22:53:34,148,253,951,
1608930366,Vahid Najafi,2013-07-20 20:12:15,2019-12-29 11:25:32,168,119,193,
1162299339353600000,Erfan Hemmati,2019-08-16 09:45:45,2019-12-29 11:25:32,5,27,105,"Iran, Tabriz"
1097261447778877441,پادکست سکوت بره‌ها | Sokoote Barreha Podcast,2019-02-17 22:28:10,2019-12-29 11:25:32,280,524,88,
1134479744295219202,Sinata | سیناتا,2019-05-31 15:20:23,2019-12-29 11:25:32,542,882,87,
1142797841456406530,Kalaf / پادکست فارسی کلاف,2019-06-23 14:13:32,2019-12-29 11:25:32,861,1446,4998,Iran
1154417812217184258,Parisawa,2019-07-25 15:47:09,2019-01-06 08:40:29,378,37,354,
759876151460270080,Gam3r - گیمر,2016-07-31 22:19:27,2019-12-29 11:25:32,567,320,1660,Islamic Republic of Iran
871000476103397377,Meysam,2017-06-03 13:47:50,,645,53,51,Unknown
894798300532047873,Saleh,2017-08-08 05:51:54,2019-07-18 09:44:16,936,204,383,tabriz
1150796860795363328,حسن موحد,2019-07-15 15:58:47,2019-12-29 11:25:32,781,175,845,
929625109069008897,مستاجر طبقه پنجم,2017-11-12 08:21:12,2019-12-29 11:25:32,5,55,297,
3236869597,Maedeh,2015-06-05 09:59:05,2013-04-03 18:10:16,131,108,110,SNA
772007115590340612,‏چاوەڕێ واران,2016-09-03 09:43:34,2019-12-29 11:25:32,3922,6784,7459,بی سرزمین تر از باد
1054402252876800000,MMahdi Dehghanian,2018-10-22 16:01:01,2019-12-29 11:25:32,135,16,50,
252062474,Ali Aboutalebi,2011-02-14 12:09:43,2019-12-29 11:25:32,44,106,127,
2272763665,Hadi Tadayyon,2014-01-02 09:24:09,2019-12-29 11:25:32,227,56,112,
3232511401,Fereshteh Molaeipour,2015-06-01 10:59:17,2019-12-29 11:25:32,30,54,108,
2378839566,عادل طالبی Adel Talebi,2014-03-08 14:53:39,2019-12-29 11:25:32,7889,4898,541,Islamic Republic of Iran
2201794440,Masood,2013-11-18 18:51:00,2019-11-16 16:30:24,8998,2248,320,
924585548248842241,Yavar Moshirfar,2017-10-29 10:35:47,2019-12-29 11:25:32,8767,1752,179,Tehran 
155864901,Saeed Shargi Ghazani,2010-06-15 10:43:14,2019-12-29 11:25:32,939,358,655,Tabriz
