id,new_user_name,joined,last_stat,num_tweets,follower_cnt,friend_cnt,location
1179901657251000000,HadiM,10/3/2019 23:32,12/29/2019 11:25,0,1,11,Islamic Republic of Iran
1181266894244000000,Noroniom,10/7/2019 17:56,,38,73,0,
1182645400194420000,NaqmehH,10/11/2019 13:13,12/29/2019 11:25,155,1028,4965,Tehran
1185077799104710000,Amir,10/18/2019 06:19,12/31/2019 17:11,2,6,38,
1185271551953900000,Aseman,10/18/2019 19:09,,667,60,178,mashhad
1190635334012460000,Mahsayino,11/2/2019 14:22,8/30/2019 10:38,4,1,5,
1191680846136330000,Mhmd,11/5/2019 11:37,,23,44,57,Islamic Republic of Iran
1192753481393880000,Raha,11/8/2019 10:39,,63,84,331,#
1194828796702140000,Hosein,11/14/2019 04:06,9/13/2015 13:25,2,13,256,
1195364513383630000,MaryamR,11/15/2019 15:35,12/29/2019 11:25,0,6,19,"Iran, Tabriz"
1201156989436470000,Frz,12/1/2019 15:12,12/31/2019 14:01,97,99,324,Everywhere of nowhere
1205190442666640000,FatemeK,12/12/2019 18:19,12/29/2019 11:25,1,10,29,Tabriz
1207351485597700000,kangonio Books,12/18/2019 17:27,12/29/2019 11:25,6,91,0,
1209896485854290000,Gholi,12/25/2019 17:59,,24,3,98,
