Id,Label,Type
280,Karen Katen,1
281,Katrina Landis,1
282,Kenji Matsuo,1
283,Kent Atkinson,1
284,Klaus Mangold,1
285,Klaus Pohle,1
286,Kyra Hazou,1
289,Lakshmi N. Mittal,1
290,Lalita D. Gupte,1
291,Laure Reinhart,1
292,Laurence Boone,1
293,Laurence Dors,1
294,Laurence Parisot,1
295,Laurent Attal,1
296,Laurent Burelle,1
298,Leo Apotheker,1
299,Leticia Costa,1
300,Lewis B Kaden,1
301,Lord Douro,1
302,Lord Powell of Bayswater,1
303,Lord Simon of Highbury,1
304,Louis Gallois,1
305,Louis Schweitzer,1
306,Louise Frechette,1
307,Luc Rousseau,1
308,Luca Cordero di Montezemolo,1
309,Lucia Sinapi,1
310,Lucien Douroux,1
312,Magali Herbaut,1
313,Marc Aubry,1
314,Marc Ladreit de Lacharriere,1
315,Marc Pouzet,1
316,Marcus Schenck,1
317,Marella Moretti,1
318,Marie-Ange Debon,1
319,Marie-Christine Coisne-Roquette,1
320,Marie-Christine Lepetit,1
321,Marie-Claude Mayer,1
322,Marie-Helene Meyling,1
323,Marie-Josee Kravis,1
324,Mariette Rih,1
325,Martin Bouygues,1
326,Martina Gonzalez-Gallarza,1
327,Martine Verluyten,1
328,Marwan Lahoud,1
329,Mary Harris,1
330,Maryse Aulagnon,1
331,Mathilde Lemoine,1
332,Maureen Chiquet,1
333,Maurice Marchand-Tonel,1
334,Maxime Villota,1
335,Meglena Kuneva,1
336,Mercedes Erra,1
337,Michael Jay,1
338,Michael Pragnell,1
339,Michel Bon,1
340,Michel Chambaud,1
341,Michel Cicurel,1
342,Michel de Fabiani,1
343,Michel Halperin,1
344,Michel Jalabert,1
345,Michel Lucas,1
346,Michel Pebereau,1
347,Michel Rollier,1
348,Michel Rose,1
349,Michel Soublin,1
350,Michel Tilmant,1
351,Michele Rousseau,1
352,Michele Vilain,1
354,Mireille Faugere,1
355,Monica Mondardini,1
356,Mouna Sepehri,1
357,Muriel Penicaud,1
358,Narayanan Vaghul,1
359,Nassef Sawiris,1
360,Nathalie Rachou,1
362,Nicholas Clive Worms,1
363,Nicolas Bazire,1
364,Nicolas Boel,1
365,Nicole Bouton,1
366,Nicole Misson,1
367,Noel Forgeard,1
368,Nonce Paolini,1
369,Norbert Dentressangle,1
370,Odile Desforges,1
371,Olivia Qiu,1
372,Olivier Appert,1
373,Olivier Bazil,1
374,Olivier Bourges,1
375,Olivier Bouygues,1
376,Olivier Costa de Beauregard,1
377,Olivier Mareuse,1
378,Olivier Pecoux,1
379,Olivier Piou,1
380,Oscar Fanjul,1
381,Paolo Scaroni,1
382,Pascal Colombani,1
383,Pascal Faure,1
384,Pascale Chargrasse,1
385,Pascale Sourisse,1
386,Pat Cox,1
387,Patricia Barbizet,1
388,Patrick Artus,1
389,Patrick Boissier,1
390,Patrick Clavelou,1
391,Patrick Faure,1
392,Patrick Kron,1
393,Patrick Petitjean,1
394,Patrick Sayer,1
395,Patrick Tanguy,1
396,Paul Bulcke,1
397,Paul Desmarais Jr,1
398,Paul Hermelin,1
399,Paul Skinner,1
400,Paul-Charles Ricard,1
401,Paul-Louis Girardot,1
403,Peter Brabeck-Letmathe,1
404,Petra Mateos-Aparicio Morales,1
405,Phil Laskawy,1
406,Philippe Alfroid,1
407,Philippe Bordenave,1
408,Philippe Brassac,1
409,Philippe Charrier,1
410,Philippe Citerne,1
411,Philippe Crouzet,1
412,Philippe Dauman,1
413,Philippe Donnet,1
414,Philippe Kourilsky,1
415,Philippe Lagayette,1
416,Philippe Maissa,1
417,Philippe Marien,1
418,Pierre Andre de Chalendar,1
419,Pierre Dufour,1
420,Pierre Gode,1
421,Pierre Graff,1
422,Pierre Mariani,1
423,Pierre Michelin,1
424,Pierre Mongin,1
425,Pierre Pringuet,1
426,Pierre Rodocanachi,1
427,Pierre Sellal,1
428,Pierre-Andre de Chalendar,1
429,Pierre-Franck Chevet,1
432,Ramon de Oliveira,1
433,Ramon Fernandez,1
434,Raymond Bingham,1
436,Rene Abate,1
437,Rene Brillet,1
438,Richard Gentil,1
439,Richard Goblet d'Alviella,1
440,Rob Ter Haar,1
441,Robert Castaigne,1
442,Robert Halley,1
443,Ruud van Ommeren,1
446,Sandra Nombret,1
449,Sebastien Bazin,1
450,Serge Kampf,1
451,Serge Michel,1
452,Serge Weinberg,1
453,Sian Herbert-Jones,1
454,Simon Badinter,1
455,Sir Lindsay Owen-Jones,1
458,Sophie Dulac,1
459,Sophie Gasperment,1
460,Stefan Lippe,1
461,Stephane Pallez,1
462,Stephane Richard,1
464,Suet Fern Lee,1
465,Susan Murray,1
466,Suzanne Nimocks,1
467,Sylvia Jay,1
468,Takeshi Isayama,1
470,Terry Ozan,1
471,Thierry Breton,1
472,Thierry Dassault,1
473,Thierry de La Tour d Artaise,1
474,Thierry de Montbrial,1
475,Thierry Desmarest,1
476,Thierry Martel,1
477,Thierry Mouchard,1
478,Thierry Peugeot,1
479,Thierry Pilenko,1
480,Thomas J. Barrack,1
481,Tom de Waard,1
483,Tye Burt,1
485,Uwe Bicker,1
487,Vanisha Mittal Bhatia,1
489,Veronique Flachaire,1
490,Veronique Morali,1
491,Veronique Weill,1
492,Vincent Bollore,1
494,Virginia A. Stallings,1
495,Virginie Morgon,1
497,Vivienne Cox,1
498,Wilbur L Ross Jr,1
499,Willy R. Kissling,1
500,Wolfgang Colberg,1
501,Xavier Beulin,1
502,Xavier Fontanet,1
503,Xavier Huillard,1
504,Xavier Lagarde,1
505,Yann Delabriere,1
506,Yannick d'Escatha,1
507,Yen Yen Tan,1
508,Yi He,1
509,Yoshihiro Kawabata,1
